Method,F1,Precision,Recall,FAR,ROC-AUC,PR-AUC,Lead Time (days)
PINN (Physics),0.8633615477629988,0.946949602122016,0.7933333333333333,0.03095975232197663,0.92421740626075,0.9309505673896531,9.0
GAT-LSTM (Data),0.8755980861244019,0.9481865284974094,0.8133333333333334,0.03095975232197663,0.9521121431028552,0.9503699730796953,9.5
Knowledge Layer,0.44488977955911824,0.4051094890510949,0.49333333333333335,0.5046439628482191,0.4652012383900929,0.4439233332650762,23.0
Proposed Framework,0.8568019093078759,0.9252577319587629,0.7977777777777778,0.04489164086686611,0.9348606811145512,0.9341544836348088,9.25
Ablation: No Physics,0.687374749498998,0.6259124087591241,0.7622222222222222,0.31733746130026047,0.7754317165462676,0.7021344319702685,8.0
Ablation: No Knowledge,0.8865979381443299,0.9148936170212766,0.86,0.05572755417955793,0.9588338493292055,0.9585985520147018,4.75
Ablation: No Data,0.7192353643966547,0.7777777777777778,0.6688888888888889,0.1331269349844995,0.8299828001375988,0.8224814505026117,14.75
Threshold,0.8446490218642118,0.8758949880668258,0.8155555555555556,0.08049535603713924,0.9243962848297212,0.9276980144511637,5.5
HST,0.9578107183580388,0.9836065573770492,0.9333333333333333,0.01083591331269182,0.9821981424148608,0.984895367733331,5.25
Isolation Forest,0.7119021134593994,0.7126948775055679,0.7111111111111111,0.19969040247674927,0.7811283109735122,0.7824503989703078,16.25
LSTM-AE,0.9207459207459208,0.9681372549019608,0.8777777777777778,0.02012383900928481,0.9651427588579292,0.9648699547507876,5.75
